Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Garellek,Marc",LIGN175-Sociolinguistics(A),SP17,64,34,100.0%,100.0%,4.08,B+(3.41),B(3.15)
"Kluender,Robert",LIGN179-SecondLangAcquisitionResrc(A),SP17,30,23,87.0%,100.0%,5.77,B(3.22),B(3.22)
"Goodall,GrantTodd",LIGN5-LinguisticsofInventedLang(A),SP17,58,34,93.5%,96.8%,2.56,B+(3.64),B(3.18)
"Biswas,Priyanka",LIGN8-Languages&Cultures/America(A),SP17,177,68,79.1%,68.7%,2.74,B+(3.31),B(3.15)
"Alicio,Atilio",LIHL112P-FilipinoforFilipinoSpeakers(A),SP17,26,13,100.0%,100.0%,3.17,B+(3.30),B+(3.36)
"Hill,KimloanT.V.",LIHL114P-BeginningVietnameseforVietn(A),SP17,18,5,100.0%,100.0%,6.10,A-(3.80),N/A
"Moore,JohnC.",LIHL115P-KoreanforKoreanSpeakers(A),SP17,12,6,100.0%,100.0%,4.50,B+(3.40),N/A
"Sadegholvad,Elham",LIHL117P-PersianforPersianSpeakers(A),SP17,11,5,100.0%,100.0%,3.30,B+(3.60),N/A
"Moore,JohnC.",LIHL119P-HindiforHindiSpeakers(A),SP17,12,4,100.0%,100.0%,4.50,A(4.00),N/A
"Alicio,Atilio",LIHL132P-AdvFilipino/FilipinoSpkrs(A),SP17,23,10,100.0%,100.0%,2.94,B+(3.50),B+(3.33)
"Hill,KimloanT.V.",LIHL134P-AdvVietnamese/VietnameseSpkr(A),SP17,16,3,100.0%,100.0%,8.50,A(4.00),N/A
"Lepic,RyanC",LIGN101-Introduction/StudyofLanguage(A),WI17,87,62,96.7%,98.4%,4.66,B(3.17),B(3.11)
"Schane,SanfordA.",LIGN105-LawandLanguage(A),WI17,34,12,100.0%,72.7%,3.41,B+(3.55),B(3.16)
"Bakovic,EricJohn",LIGN111-PhonologyI(A),WI17,35,31,83.9%,87.1%,5.15,B-(2.90),B(3.18)
"MunozSanchez,Alicia",LIGN119-1st&2ndLangLrn:ChildtoAdol(A),WI17,36,17,92.9%,100.0%,4.36,B(3.21),B(3.09)
"Moore,JohnC.",LIGN121-SyntaxI(A),WI17,57,28,85.7%,82.1%,6.50,B(3.14),B(3.09)
"Kehler,AndrewScott",LIGN17-MakingandBreakingCodes(A),WI17,140,68,95.5%,97.0%,2.94,B+(3.54),B(3.17)
"Wittenberg,EvaH",LIGN170-Psycholinguistics(A),WI17,39,21,100.0%,85.7%,4.98,B+(3.55),A-(3.91)
"Kluender,Robert",LIGN180-LangRepresentationinBrain(A),WI17,36,33,97.0%,97.0%,5.31,B+(3.30),B(3.29)
"Lepic,RyanC",LIGN7-SignLanguageanditsCulture(A),WI17,46,30,100.0%,100.0%,3.60,A-(3.72),B(3.18)
"Alicio,Atilio",LIHL112W-FilipinoforFilipinoSpeakers(A),WI17,18,10,100.0%,100.0%,3.17,B(3.20),N/A
"Hill,KimloanT.V.",LIHL114W-BeginningVietnameseforVietn(A),WI17,24,14,100.0%,100.0%,3.67,A-(3.71),B+(3.34)
"Moore,JohnC.",LIHL115W-KoreanforKoreanSpeakers(A),WI17,12,6,100.0%,66.7%,1.83,B+(3.67),N/A
"Sadegholvad,Elham",LIHL117W-PersianforPersianSpeakers(A),WI17,13,5,100.0%,75.0%,4.00,B(3.00),N/A
"Moore,JohnC.",LIHL119W-HindiforHindiSpeakers(A),WI17,15,8,100.0%,85.7%,4.79,A(4.00),N/A
"Hill,KimloanT.V.",LIHL124W-IntVietnamese/VietnameseSpkr(A),WI17,21,5,100.0%,100.0%,3.50,B(3.00),B+(3.52)
"Alicio,Atilio",LIHL132W-AdvFilipino/FilipinoSpkrs(A),WI17,18,8,100.0%,100.0%,2.21,B+(3.40),N/A
"Lepic,RyanC",LIGN101-Introduction/StudyofLanguage(A),FA16,102,86,96.5%,97.7%,4.24,B(3.18),B-(2.85)
"Rose,Sharon",LIGN108-LanguagesofAfrica(B),FA16,12,5,100.0%,100.0%,5.30,B+(3.60),N/A
"Garellek,Marc",LIGN110-Phonetics(A),FA16,51,40,97.4%,100.0%,4.60,B+(3.31),B+(3.37)
"Bakovic,EricJohn",LIGN143-TheStructureofSpanish(A),FA16,39,22,78.9%,100.0%,3.55,B+(3.56),A-(3.77)
"Lott,MargaretS.",LIGN146-Sociolinguistics/DeafCommunit(A),FA16,30,22,100.0%,95.2%,3.17,B+(3.55),B+(3.55)
"Kehler,AndrewScott",LIGN160-Pragmatics(A),FA16,26,12,100.0%,100.0%,4.17,B(3.00),B-(2.92)
"Athanasopoulou,Angeliki",LIGN171-ChildLanguageAcquisition(A),FA16,48,28,84.6%,61.5%,5.22,B(3.15),B-(2.99)
"Caballero,GabrielaHernandez",LIGN8-Languages&Cultures/America(A),FA16,187,89,89.5%,98.8%,2.95,A-(3.82),B+(3.56)
"Alicio,Atilio",LIHL112F-FilipinoforFilipinoSpeakers(A),FA16,28,14,100.0%,100.0%,3.93,B(3.27),B+(3.36)
"Hill,KimloanT.V.",LIHL114F-BeginningVietnameseforVietn(A),FA16,25,7,100.0%,100.0%,4.50,B(3.20),B+(3.41)
"Moore,JohnC.",LIHL115F-KoreanforKoreanSpeakers(A),FA16,17,7,100.0%,83.3%,3.50,A(4.00),N/A
"Sadegholvad,Elham",LIHL117F-PersianforPersianSpeakers(A),FA16,13,9,100.0%,75.0%,3.93,A-(3.83),N/A
"Moore,JohnC.",LIHL119F-HindiforHindiSpeakers(A),FA16,14,10,100.0%,100.0%,1.50,A(4.00),N/A
"Hill,KimloanT.V.",LIHL124F-IntVietnamese/VietnameseSpkr(A),FA16,15,8,100.0%,100.0%,6.21,A-(3.71),N/A
"Alicio,Atilio",LIHL132F-AdvFilipino/FilipinoSpkrs(A),FA16,23,15,100.0%,100.0%,3.30,B+(3.46),B+(3.46)
